f_Hz,H_real,H_imag,H_mag,H_phase_rad
1.499999999999887310e+06,-7.770313336265413651e-02,3.155538347598279558e-01,3.249799987168552340e-01,1.812236504843426577e+00
1.519999999999885913e+06,-1.553846706176694958e+00,-8.379083976022310143e-01,1.765369669238854300e+00,-2.647041961799057486e+00
1.539999999999884283e+06,4.909685373295780142e-02,-1.202378312676168765e-02,5.054772405514269817e-02,-2.401722346748849102e-01
1.559999999999882886e+06,4.417022600977458247e-01,-5.400170199971088963e-02,4.449910902415039060e-01,-1.216544239363558516e-01
1.579999999999881256e+06,2.182615304820701985e-01,1.240099629960390026e-01,2.510310072693304195e-01,5.166872757158864626e-01
1.599999999999879859e+06,-2.108695572466833257e-01,-4.647251217449833299e-02,2.159297676588875226e-01,-2.924675039882645322e+00
1.619999999999878230e+06,-3.151804284157719849e-01,-6.486863513368776868e-01,7.212022496270380501e-01,-2.023080151669316429e+00
1.639999999999876833e+06,4.827327604427915086e-01,-2.205471922218836145e+00,2.257684060647185742e+00,-1.355314971175276550e+00
1.659999999999875203e+06,2.701492976680877067e-01,-6.877573797123030450e-03,2.702368295623228667e-01,-2.545292020980630121e-02
1.679999999999873806e+06,2.593595969192156181e-01,4.141049949573580996e-02,2.626446839031476577e-01,1.583280410361679602e-01
1.699999999999872176e+06,-3.574666182947978110e-01,-8.421301051048589725e-01,9.148581841569979334e-01,-1.972225673658945633e+00
1.719999999999870779e+06,-3.184919653304838949e+00,-1.114709530178493058e+00,3.374357795889193490e+00,-2.804921288257153478e+00
1.739999999999869382e+06,-1.411021117657560886e+00,3.274378453762797486e-02,1.411400988345069551e+00,3.118391081020032818e+00
1.759999999999867752e+06,8.377845144236760744e-01,-7.467928516518000936e-01,1.122311211690564248e+00,-7.280378545357824027e-01
1.779999999999866355e+06,-4.950853785844971378e-01,-7.544081695096325202e-01,9.023531560930172502e-01,-2.151557329030080901e+00
1.799999999999864725e+06,-1.600763411540632841e+00,-6.699427685177138381e-01,1.735300208268409250e+00,-2.745228045160683195e+00
1.819999999999863328e+06,-2.961992511574608411e+00,1.306925901124395217e+00,3.237507521173328406e+00,2.726054070335710122e+00
1.839999999999861699e+06,4.172809513741604803e+00,-8.349618242674257118e-01,4.255525876546450981e+00,-1.974877118718302293e-01
1.859999999999860302e+06,-1.109740292324110422e+00,-9.141601440451676552e-01,1.437780332793672677e+00,-2.452530620730628996e+00
1.879999999999858672e+06,-3.952990221559759543e-01,-6.824811453489842972e-01,7.886962854447409077e-01,-2.095787809546876268e+00
1.899999999999857275e+06,-2.758112125940869741e-01,-7.982738311378928531e-01,8.445785543525182737e-01,-1.903465135833116495e+00
1.919999999999855645e+06,4.192062473923112709e-01,-9.641531984208296935e-01,1.051344504849794470e+00,-1.160660957235711166e+00
1.939999999999854248e+06,2.320782678990785719e+00,-1.181374526830617500e+00,2.604165512356676704e+00,-4.708545609731878412e-01
1.959999999999852851e+06,-2.510319527826725960e-01,-5.924681059229296443e-01,6.434559020273150631e-01,-1.971569949859548476e+00
1.979999999999851221e+06,-2.966867558211945255e-01,-9.185084191951911614e-02,3.105794716993214299e-01,-2.841362343940209367e+00
1.999999999999849824e+06,-3.832025667494734500e-01,1.835931041729076119e-01,4.249125028323227915e-01,2.694802803416400661e+00
2.019999999999848194e+06,-5.754058077310664210e-01,1.197237299373014929e+00,1.328333163999390276e+00,2.018813036058943577e+00
2.039999999999846797e+06,-7.618932283258165183e-01,7.985356058887554953e-01,1.103693981700025750e+00,2.332716556484159209e+00
2.059999999999845168e+06,-2.385838725015636541e-01,1.553675666087099838e-01,2.847127411475544601e-01,2.564369162991676721e+00
2.079999999999843771e+06,2.967414261038340828e-01,-1.065717606971744030e-01,3.152982939126582895e-01,-3.447941746636996596e-01
2.099999999999842141e+06,-9.051337596211145309e-01,-6.440694570505552108e-02,9.074223809565794552e-01,-3.070555010116546857e+00
2.119999999999840744e+06,-1.020094056585740816e+00,-1.460250295770939566e+00,1.781269999348967126e+00,-2.180565139744850001e+00
2.139999999999839347e+06,-4.343548602995813135e-01,5.519098010879288640e-01,7.023308146470478297e-01,2.237562086871184519e+00
2.159999999999837950e+06,-1.190925559369199194e+00,-3.544258519469226654e-01,1.242546326092971665e+00,-2.852334204829721109e+00
2.179999999999836087e+06,-1.013846278296886894e+00,-3.746643276564468605e-01,1.080859673794293263e+00,-2.787610831129444744e+00
2.199999999999834690e+06,-7.289525420939723110e-01,4.581166776360504622e-01,8.609545278082678665e-01,2.580509939671709940e+00
2.219999999999833293e+06,-5.138645824624290093e+00,5.604648728059165030e+00,7.603799594667383310e+00,2.312845499763030332e+00
2.239999999999831896e+06,-1.426113946083529260e-01,-3.986769965526611337e+00,3.989319837753949383e+00,-1.606552243269620206e+00
2.259999999999830034e+06,-1.182375094982404340e+00,-9.459759042878617130e-01,1.514226296406150585e+00,-2.466812607596868379e+00
2.279999999999828637e+06,-9.047444093070060589e-01,5.784869482187489087e-01,1.073875968364933930e+00,2.572710430350102939e+00
2.299999999999827240e+06,-5.472405734066003724e-01,1.282348901918411332e+00,1.394234898226887731e+00,1.974147104775250572e+00
2.319999999999825843e+06,-1.736626143738327022e+00,2.975779554414624273e-01,1.761937286818169746e+00,2.971886756341893587e+00
2.339999999999823980e+06,-1.856208521602683015e-01,-5.742573064912001035e-01,6.035118514289775637e-01,-1.883432264656883959e+00
2.359999999999822583e+06,3.986712799854861822e-01,-2.641176468264206378e-01,4.782226686914702873e-01,-5.851088189622827285e-01
2.379999999999821186e+06,1.460619228766391942e+00,2.076323443675870684e-01,1.475303264373027279e+00,1.412075569197041303e-01
2.399999999999819789e+06,-3.934812746629493679e-02,2.669703404822499904e-01,2.698544752867965135e-01,1.717130421633980220e+00
2.419999999999818392e+06,3.749449191865788372e-02,-6.740091998372050863e-01,6.750512857475553519e-01,-1.515224552888385645e+00
2.439999999999816529e+06,-5.746842476736762073e-01,-4.167480524338280090e-01,7.098879656196798171e-01,-2.514168163665650102e+00
2.459999999999815132e+06,-3.471945961911971912e-01,-4.411623145538007967e-02,3.499861847304734930e-01,-3.015205089162772190e+00
2.479999999999813735e+06,-1.901320204976924000e-01,-1.958397821593683419e-01,2.729531195915587127e-01,-2.341407540450838098e+00
2.499999999999812339e+06,7.973864303101100800e-05,-1.180903472342502702e+00,1.180903475034615679e+00,-1.570728803373399929e+00
2.519999999999810476e+06,9.447469398748483682e-01,8.776475198723350246e+00,8.827177561044580401e+00,1.463563868713873894e+00
2.539999999999809079e+06,1.566997971678014245e+00,1.623592746469010306e+00,2.256443229870805922e+00,8.031343274176975244e-01
2.559999999999807682e+06,1.519872511616354505e+00,1.263288292433539795e+00,1.976337461408515184e+00,6.934663660959066167e-01
2.579999999999806285e+06,-2.277944613987971378e-02,-6.681453619225158347e-01,6.685335652194356326e-01,-1.604876674484829291e+00
2.599999999999804888e+06,-1.670079743198819300e-01,-6.244456502625245209e-01,6.463930952742436009e-01,-1.832129881433597118e+00
2.619999999999803025e+06,2.507080816369776088e-01,7.071740586520264271e-02,2.604908706469330482e-01,2.749278350022017481e-01
2.639999999999801628e+06,-2.831855136718209875e-01,2.507673935647791730e-01,3.782569508004393066e-01,2.416833500014690550e+00
2.659999999999800231e+06,-1.630025369612271569e-02,2.101818208221890860e-01,2.108129409564051537e-01,1.648194513985050014e+00
2.679999999999798834e+06,-1.570414730524428704e+00,-3.010661728494306910e+00,3.395627551612284911e+00,-2.051588228160622585e+00
2.699999999999796972e+06,-7.383657523947206869e-01,1.494919750064432229e+00,1.667323916772660786e+00,2.029565421939830916e+00
2.719999999999795575e+06,-5.103492917951946151e-01,1.242329726657575240e+00,1.343070939814030140e+00,1.960578403706223494e+00
2.739999999999794178e+06,-1.000745572399316163e+00,-9.817381479884745854e-02,1.005549500814849617e+00,-3.043804873727476323e+00
2.759999999999792781e+06,6.367880813306031618e-01,1.442521093844247038e-01,6.529224544971378164e-01,2.227709951473486327e-01
2.779999999999791384e+06,4.288255389153922126e-01,5.713910052798125694e-01,7.144081632657561798e-01,9.269791130355732323e-01
2.799999999999789521e+06,1.088207930296038461e-01,1.168125896602532215e-01,1.596469420274831963e-01,8.208027522818712729e-01
2.819999999999788124e+06,3.000839762687207424e-01,-1.444030272926192515e-01,3.330204604893205467e-01,-4.485018947327311656e-01
2.839999999999786727e+06,3.994702695326488029e-01,2.448057405256545346e-02,4.002196831072032945e-01,6.120604893757604359e-02
2.859999999999785330e+06,-9.368148237523159505e-01,5.155073925068616170e-01,1.069284754277973537e+00,2.638537011197825688e+00
2.879999999999783468e+06,6.189161019107831230e+00,-2.257665344472444957e+01,2.340963465933700149e+01,-1.303229940256265929e+00
2.899999999999782071e+06,1.035778814051701024e+00,-1.046005692176549262e+00,1.472061703769271368e+00,-7.903106775536449247e-01
2.919999999999780674e+06,-7.089158696487085631e-02,-4.060873650456285899e-01,4.122287776855219632e-01,-1.743626928371346363e+00
2.939999999999779277e+06,-5.856967382212471124e-03,-8.786767285935691563e-01,8.786962486768752356e-01,-1.577461896110708306e+00
2.959999999999777414e+06,1.412402032054795864e-01,-6.337906974513495273e-01,6.493376957927156079e-01,-1.351529305969688677e+00
2.979999999999776017e+06,-1.094431965756021308e+00,2.485747105065440277e+00,2.716011781640463862e+00,1.985540198038180826e+00
2.999999999999774620e+06,2.336486545174286888e+00,9.920715169738861805e-01,2.538380442441861895e+00,4.015315520686060791e-01
3.019999999999773223e+06,1.919046527646231515e-01,-2.113396249611653399e+00,2.122091210015562002e+00,-1.480240754697845773e+00
3.039999999999771826e+06,-5.002591079743874403e-01,1.804667705515600629e+00,1.872721202539842311e+00,1.841209393668125083e+00
3.059999999999769963e+06,4.425627456767435297e-01,6.093297773564525510e-01,7.530900088529937086e-01,9.426295370138124685e-01
3.079999999999768566e+06,1.235520420981301770e+00,1.880719343844854619e+00,2.250247977662469534e+00,9.895575889827034066e-01
3.099999999999767169e+06,-2.598377507007527121e-01,1.388458126437936535e+00,1.412562078480365857e+00,1.755797661347849870e+00
3.119999999999765772e+06,6.695083842551305398e-02,-1.038314027085260660e+00,1.040470294437996213e+00,-1.506405131077499293e+00
3.139999999999763910e+06,-1.695320037279550052e+00,-1.511857916388057665e+00,2.271524683587385685e+00,-2.413335816336009465e+00
3.159999999999762513e+06,-1.972901737187540805e+00,5.490952653719258336e+00,5.834629577786766497e+00,1.915732475759258424e+00
3.179999999999761116e+06,-5.682847358955826766e-02,-1.256797010094361733e+00,1.258081157951523643e+00,-1.615982455238805571e+00
3.199999999999759719e+06,-4.937483196512411632e-01,-3.247178590711582435e-01,5.909560822583863615e-01,-2.559852315341584195e+00
3.219999999999758322e+06,2.294534166120333063e-01,-6.274692224974267596e-01,6.681066498519981911e-01,-1.220220883014918822e+00
3.239999999999756459e+06,1.508534625575644439e+00,-2.685646397084676673e-01,1.532254444360461987e+00,-1.761842513550947176e-01
3.259999999999755062e+06,1.321502462696303448e+00,-4.828205113468236331e-01,1.406941507344780629e+00,-3.502900735817909839e-01
3.279999999999753665e+06,-2.082120138683266897e-01,-1.304078080015197649e+00,1.320595275432722593e+00,-1.729122232354787680e+00
3.299999999999752268e+06,-1.534665931423035534e+00,1.620643620457014711e+00,2.231968921288680185e+00,2.328952656054778192e+00
3.319999999999750406e+06,4.663091223483916692e-01,2.865075349832578055e+00,2.902774699800795499e+00,1.409454706073238528e+00
3.339999999999749009e+06,-2.823152027219737459e+00,-2.995866625556483420e+00,4.116479589032126185e+00,-2.326522149041179155e+00
3.359999999999747612e+06,-4.295897200498129953e-01,-1.013329816166776753e+00,1.100629203639931664e+00,-1.971767696174792750e+00
3.379999999999746215e+06,-1.037295596461641212e-01,9.072135739559383794e-01,9.131244659488070292e-01,1.684640569809052080e+00
3.399999999999744352e+06,4.213367255039599080e+00,1.929326398237827533e-01,4.217782193208807762e+00,4.575864191371665363e-02
3.419999999999742955e+06,-1.178135681686568015e+00,-1.717813879678638189e+00,2.082999810292754272e+00,-2.171951708548318205e+00
3.439999999999741558e+06,4.019041929103087801e-02,-7.197097461327630619e-01,7.208310401760422703e-01,-1.515011726068255626e+00
3.459999999999740161e+06,1.083398267635848899e-01,-2.082514441079654777e-01,2.347470596966374223e-01,-1.091091554741558944e+00
3.479999999999738764e+06,-4.031602286656525008e-02,-5.219019681228760366e-01,5.234568234633195649e-01,-1.647891487751833806e+00
3.499999999999736901e+06,-5.536390653306526577e-01,-9.992399283441073532e-01,1.142364499210884565e+00,-2.076751421414468890e+00
3.519999999999735504e+06,-9.763290372529634942e-01,-2.757451429757427630e-01,1.014521450171464556e+00,-2.866331531265500665e+00
3.539999999999734107e+06,-4.600260666611390992e-01,-1.047350686445614798e+00,1.143926327350594407e+00,-1.984656490116649019e+00
3.559999999999732710e+06,-8.565780553472523096e+00,1.894695692905902895e+00,8.772825557308445710e+00,2.923904153520885174e+00
3.579999999999730848e+06,6.046767653574492973e-01,5.138092398038499597e-01,7.934947545327302176e-01,7.043346553521209197e-01
3.599999999999729451e+06,-4.578046915143032525e-01,-5.374614210440229467e-01,7.060098545227020406e-01,-2.276329121934709487e+00
3.619999999999728054e+06,-1.585358854270075391e+00,-8.686758681456753228e-01,1.807750110139996202e+00,-2.640335139170826739e+00
3.639999999999726657e+06,1.402824997120719064e-01,-8.132019996673517381e-01,8.252131070144530511e-01,-1.399971242605156707e+00
3.659999999999725260e+06,1.457103164119676608e-01,-1.306626981975966828e-01,1.957146826611431412e-01,-7.310050985786348265e-01
3.679999999999723397e+06,-1.114589450204849230e+00,-4.235841393647277742e-01,1.192364527159922138e+00,-2.778414168403855911e+00
3.699999999999722000e+06,6.788842282320234345e-01,1.222181891784454688e+00,1.398074523030878646e+00,1.063763919456053753e+00
3.719999999999720603e+06,9.512760185455615414e-01,1.001929682892945372e+00,1.381589357559565689e+00,8.113259564362323983e-01
3.739999999999719206e+06,1.010702671254845697e+00,-4.975906814395340660e+00,5.077515978825440257e+00,-1.370403254399467752e+00
3.759999999999717344e+06,3.585031300454395997e-01,1.183744956632633433e-01,3.775407467756418667e-01,3.189197648463347190e-01
3.779999999999715947e+06,-6.167451289765328581e-02,3.146095017420771356e-01,3.205976982568041755e-01,1.764376615969324602e+00
3.799999999999714550e+06,3.342523730315438701e-01,-2.220306791212911246e-01,4.012758045886645752e-01,-5.863350090977254014e-01
3.819999999999713153e+06,4.471024205134712104e-01,-1.690250659676849065e-01,4.779854049595919085e-01,-3.614380359924420638e-01
3.839999999999711290e+06,9.509506747383762448e-01,5.933710356865695701e-01,1.120890883082347633e+00,5.578630993695579132e-01
3.859999999999709893e+06,1.109187747591121376e+00,9.839743993642655617e-01,1.482734999253249031e+00,7.256491795406120326e-01
3.879999999999708496e+06,-2.075093990123228149e+00,-1.584520944257357344e+00,2.610885231226330205e+00,-2.489450551383198373e+00
3.899999999999707099e+06,-1.020637061088600195e+00,-4.677251880207737300e-01,1.122705153625226382e+00,-2.711884461708299554e+00
3.919999999999705702e+06,-3.812436703999338983e-01,-1.275934789033401628e-01,4.020283971048196348e-01,-2.818633308224712586e+00
3.939999999999703839e+06,1.708596994641074229e-01,-4.333964973724572234e-01,4.658600227919105219e-01,-1.195270371703959444e+00
3.959999999999702442e+06,-8.158072142140705418e-01,3.514200602171632104e-01,8.882778109841296121e-01,2.734850323346395662e+00
3.979999999999701045e+06,-2.601560959172963816e-01,9.443424890235142533e-01,9.795222972541542950e-01,1.839617226189283805e+00
3.999999999999699648e+06,5.085343972891067654e-01,6.846316605585808235e-01,8.528351211490969863e-01,9.319285785942018618e-01
4.019999999999697786e+06,6.216645443962991457e-01,-7.721909821326212731e-01,9.913353209920447995e-01,-8.929741111414122301e-01
4.039999999999696389e+06,6.975166319857064590e-01,-8.547695604193042973e-01,1.103249950517150024e+00,-8.863578192310662685e-01
4.059999999999694992e+06,1.004235788834300314e+00,-1.233290229788143400e+00,1.590438401971777438e+00,-8.874123103026753112e-01
4.079999999999693595e+06,8.746459967507892452e-01,-1.645073647315094867e+00,1.863135240588500885e+00,-1.082130284992109281e+00
4.099999999999692198e+06,-1.471918770267017118e+00,-1.094837610042802778e+00,1.834452032250667441e+00,-2.502060682782131007e+00
4.119999999999690335e+06,-7.264915485089327163e-01,-3.452153863092836117e-01,8.043404956854870447e-01,-2.697996192094665791e+00
4.139999999999688938e+06,-1.377540119834175014e+00,-6.342906616631578398e-01,1.516555777156197937e+00,-2.710081180972668591e+00
4.159999999999687541e+06,2.071485229921318005e+00,3.283369636857356610e+00,3.882211641579961903e+00,1.007963964629820186e+00
4.179999999999686144e+06,1.770705560081115237e+00,1.188084301825421685e+00,2.132356088636739866e+00,5.909735804643521107e-01
4.199999999999684282e+06,-5.884257259309791932e-01,-2.645709740892354223e+00,2.710355118428226628e+00,-1.789641837793219059e+00
4.219999999999683350e+06,-1.027507121879182028e+00,-7.420632653404893864e-01,1.267449713116946430e+00,-2.516123739038021778e+00
4.239999999999681488e+06,-1.648523663599884115e+00,7.503681873924819001e-01,1.811265492990871140e+00,2.714442819671150087e+00
4.259999999999679625e+06,1.122156857010874198e+01,-6.632186734028512554e+00,1.303493391040691662e+01,-5.337914018612357481e-01
4.279999999999678694e+06,1.218116409511498022e+00,-9.185858825571697750e-01,1.525649897831910184e+00,-6.461221982865501534e-01
4.299999999999676831e+06,3.701558705190858500e+00,1.001269763820529457e+00,3.834589676603670672e+00,2.641773327295744433e-01
4.319999999999675900e+06,-1.522670590265821300e+00,2.570422548377449434e+00,2.987573899281436240e+00,2.105595105892894559e+00
4.339999999999674037e+06,-7.693594033342319172e-01,5.253788932271042933e-01,9.316312966766102655e-01,2.542450379845922370e+00
4.359999999999672174e+06,-2.485802890344975813e-01,6.110177448407607681e-01,6.596475154252939843e-01,1.957176648479830305e+00
4.379999999999671243e+06,-5.830791932236986108e-01,4.568412592478541812e-01,7.407329354913040342e-01,2.476995344269298904e+00
4.399999999999669380e+06,-7.276867892771110569e-01,2.914320507588439302e-01,7.838754387643076527e-01,2.760663023934482485e+00
4.419999999999667518e+06,-4.871851684534685312e+00,-6.642106496996551535e-01,4.916921254532950591e+00,-3.006091693017120647e+00
4.439999999999666587e+06,6.315482769271939523e-01,-2.747531866756044661e+00,2.819181545223659935e+00,-1.344860700838314882e+00
4.459999999999664724e+06,6.430333549855602016e+00,1.477335678861970081e+01,1.611214636124729438e+01,1.160262879862506979e+00
4.479999999999663793e+06,-1.778318670925669864e-01,7.489206861813478833e-01,7.697443518103718185e-01,1.803929618425932135e+00
