time_s,vin
8.000000000000000291e-10,2.444570000000000132e+00
1.600000000000000058e-09,2.473869999999999791e+00
2.399999999999999984e-09,2.454340000000000188e+00
3.200000000000000117e-09,2.464100000000000179e+00
4.000000000000000249e-09,2.434800000000000075e+00
4.799999999999999968e-09,2.444570000000000132e+00
5.599999999999999687e-09,2.415270000000000028e+00
6.400000000000000233e-09,2.444570000000000132e+00
7.199999999999999952e-09,2.464100000000000179e+00
8.000000000000000498e-09,2.464100000000000179e+00
8.799999999999999390e-09,2.444570000000000132e+00
9.599999999999999936e-09,2.464100000000000179e+00
1.040000000000000048e-08,2.464100000000000179e+00
1.119999999999999937e-08,2.473869999999999791e+00
1.199999999999999992e-08,2.444570000000000132e+00
1.280000000000000047e-08,2.464100000000000179e+00
1.359999999999999936e-08,2.454340000000000188e+00
1.439999999999999990e-08,2.483629999999999782e+00
1.520000000000000045e-08,2.473869999999999791e+00
1.600000000000000100e-08,2.473869999999999791e+00
1.680000000000000154e-08,2.444570000000000132e+00
1.759999999999999878e-08,2.473869999999999791e+00
1.839999999999999933e-08,2.464100000000000179e+00
1.919999999999999987e-08,2.464100000000000179e+00
2.000000000000000042e-08,2.464100000000000179e+00
2.080000000000000096e-08,2.483629999999999782e+00
2.160000000000000151e-08,2.473869999999999791e+00
2.239999999999999875e-08,2.493399999999999839e+00
2.319999999999999929e-08,2.473869999999999791e+00
2.399999999999999984e-08,2.493399999999999839e+00
2.480000000000000039e-08,2.444570000000000132e+00
2.560000000000000093e-08,2.493399999999999839e+00
2.640000000000000148e-08,2.493399999999999839e+00
2.719999999999999872e-08,2.503159999999999830e+00
2.799999999999999926e-08,2.483629999999999782e+00
2.879999999999999981e-08,2.483629999999999782e+00
2.960000000000000035e-08,2.434800000000000075e+00
3.040000000000000090e-08,2.512929999999999886e+00
3.120000000000000145e-08,2.483629999999999782e+00
3.200000000000000199e-08,2.512929999999999886e+00
3.280000000000000254e-08,2.503159999999999830e+00
3.360000000000000309e-08,2.493399999999999839e+00
3.439999999999999701e-08,2.493399999999999839e+00
3.519999999999999756e-08,2.493399999999999839e+00
3.599999999999999811e-08,2.483629999999999782e+00
3.679999999999999865e-08,2.503159999999999830e+00
