time_s,h
0.000000000000000000e+00,1.079058707493596100e-02
8.000000000000601031e-10,5.921933597047745329e-03
1.600000000000120206e-09,1.403559479610346850e-03
2.400000000000180309e-09,2.684350825794121946e-04
3.200000000000240413e-09,9.768883004547391884e-04
4.000000000000300516e-09,-1.592827267863858656e-02
4.800000000000360619e-09,7.791202253933117265e-03
5.600000000000420722e-09,4.906213225004725335e-03
6.400000000000480825e-09,-6.613536654889733309e-03
7.200000000000540928e-09,2.057008910493269074e-02
8.000000000000601031e-09,5.681214230868666601e-03
8.800000000000661135e-09,1.182158143775143173e-02
9.600000000000721238e-09,-5.726336645397699099e-03
1.040000000000078134e-08,1.296513622672482505e-02
1.120000000000084144e-08,6.769093024621619312e-03
1.200000000000090155e-08,3.164033834022311189e-04
1.280000000000096165e-08,-8.114572795161808377e-03
1.360000000000102175e-08,-1.850265262032218389e-02
1.440000000000108186e-08,-3.918908199368463172e-03
1.520000000000114196e-08,-3.627282488109837173e-03
1.600000000000120206e-08,5.311613688533067985e-03
1.680000000000126217e-08,2.178150281983770239e-02
1.760000000000132227e-08,-1.351653073861822010e-03
1.840000000000138237e-08,-1.823997350253537750e-02
1.920000000000144248e-08,1.022468898901797082e-02
2.000000000000150258e-08,-3.935674797768990742e-03
2.080000000000156268e-08,-3.151823339438873488e-03
2.160000000000162278e-08,-2.511804119986953479e-02
2.240000000000168289e-08,-1.002661333719891829e-02
2.320000000000174299e-08,1.785538711701186582e-02
2.400000000000180309e-08,9.263139737148342462e-03
2.480000000000186320e-08,-8.035159915245998832e-03
2.560000000000192330e-08,-3.608809166825107263e-03
2.640000000000198340e-08,7.931539162047480940e-03
2.720000000000204351e-08,-3.773237743584756734e-03
2.800000000000210361e-08,-1.481966074637354296e-02
2.880000000000216371e-08,-4.516819868774646016e-03
2.960000000000222382e-08,-4.145621594081425054e-03
3.040000000000228392e-08,1.447291731756782107e-02
3.120000000000234402e-08,2.731791991115795678e-03
3.200000000000240413e-08,-1.316328005639220110e-02
3.280000000000246423e-08,-5.112893073735593451e-03
3.360000000000252433e-08,2.516578907297086984e-02
3.440000000000258443e-08,-1.816941744301762279e-02
3.520000000000264454e-08,9.444231519764743812e-04
3.600000000000270464e-08,-7.306287412747367385e-03
3.680000000000276474e-08,4.843535643639393026e-03
3.760000000000282485e-08,1.645100615634169719e-02
3.840000000000288495e-08,-1.000893387578575752e-02
3.920000000000294505e-08,2.569430525543587099e-02
4.000000000000300516e-08,-7.016638980108321280e-03
4.080000000000306526e-08,6.711843505487262614e-03
4.160000000000312536e-08,-1.497440098280582686e-02
4.240000000000318547e-08,-1.296134862374294545e-02
